  1 This software is NOT part of Wordnet. and is being provided to you
  2 by Manu Konchady under the Perl Artistic License (PAL)
  3 This is the data file for additional words in the Wordnet format
  4 Do not edit this file. Change the .dat files and rerun masher.pl
00000268 00 a 01 open_source 0 000 | of or relating to or being computer software for which the source code is freely available
00011050 00 p 02 they're 0 they_are 0 000 |
00011094 00 p 02 they've 0 they_have 0 000 |
00011139 00 p 01 this 0 000 |
00011169 00 p 01 us 0 000 |
00011197 00 p 01 we 0 000 |
00011225 00 p 02 we'be 0 we_would_be 0 000 |
00011270 00 p 02 we'd 0 we_would 0 000 |
00011311 00 p 02 we'll 0 we_will 0 000 |
00011352 00 p 02 we're 0 we_are 0 000 |
00011392 00 p 02 we've 0 we_have 0 000 |
00011433 00 p 01 what 0 000 |
00011463 00 p 01 which 0 000 |
00011494 00 p 01 whichever 0 000 |
00011529 00 p 01 who 0 000 |
00011558 00 p 01 whoever 0 000 |
00011591 00 p 01 whom 0 000 |
00011621 00 p 01 whomever 0 000 |
00011655 00 p 01 whose 0 000 |
00011686 00 p 02 y'all 0 you_all 0 000 |
00011727 00 p 01 ya 0 000 |
00011755 00 p 01 ye 0 000 |
00011783 00 p 01 you 0 000 |
00011812 00 p 02 you'd 0 you_would 0 000 |
00011855 00 p 02 you'll 0 you_will 0 000 |
00011898 00 p 02 you're 0 you_are 0 000 |
00011940 00 p 02 you've 0 you_have 0 000 |
00011983 00 p 01 your 0 000 |
00012013 00 p 01 yours 0 000 |
00012044 00 p 01 yourself 0 000 |
00012078 00 p 01 yourselves 0 000 |
00012114 00 r 02 there'll 0 there_will 0 000 |
00012161 00 v 03 ain't 0 is_not 0 isn't 0 000 |
00012209 00 v 03 are_not 0 aren't 0 arn't 0 000 |
00012259 00 v 02 can't 0 can_not 0 000 |
00012300 00 v 02 could_not 0 couldn't 0 000 |
00012346 00 v 02 did_not 0 didn't 0 000 |
00012388 00 v 02 do_not 0 don't 0 000 |
00012428 00 v 02 does_not 0 doesn't 0 000 |
00012472 00 v 02 had_not 0 hadn't 0 000 |
00012514 00 v 02 has_not 0 hasn't 0 000 |
00012556 00 v 02 have_not 0 haven't 0 000 |
00012600 00 v 02 pay'n 0 pay_and 0 000 |
00012641 00 v 02 should_not 0 shouldn't 0 000 |
00012689 00 v 02 was_not 0 wasn't 0 000 |
00012731 00 v 02 were_not 0 weren't 0 000 |
00012775 00 v 02 will_not 0 won't 0 000 |
00012817 00 v 03 would't 0 would_not 0 wouldn't 0 000 |
